date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:05	170/170	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2016%20Dec%202022%2007:38:05%20GMT	https://demo.leebrosus.com/robots.txt		(from )
13:08:06	408181/408181	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Dec%202022%2007:35:45%20GMT	https://demo.leebrosus.com/melawell/	D:/02-medicin/demo.leebrosus.com/melawell/index.html	(from )
13:08:07	2237/2237	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-8bd%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/contact-form-7/includes/css/styles52c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:07	493/493	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-1ed%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor52c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:07	19693/19693	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-4ced%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min52c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:08	11406/11406	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225ed4416329482f1a44bc022d26f4b251%22	https://demo.leebrosus.com/melawell/comments/feed/	D:/02-medicin/demo.leebrosus.com/melawell/comments/feed/index.html	(from https://demo.leebrosus.com/melawell/)
13:08:08	163445/163445	---MCZ	200	added ('OK')	text/css	etag:W/%2262845b50-27e75%22	https://demothemedh.b-cdn.net/melawell/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1652841296	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/uploads/elementor/css/custom-frontend.minac36.css	(from https://demo.leebrosus.com/melawell/)
13:08:08	2441/2441	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-9a9%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/post-5.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/post-552c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:08	49646/49646	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%225ed4416329482f1a44bc022d26f4b251%22	https://demo.leebrosus.com/melawell/feed/	D:/02-medicin/demo.leebrosus.com/melawell/feed/index.html	(from https://demo.leebrosus.com/melawell/)
13:08:08	22602/22602	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-584a%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/global.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/global52c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:08	88701/88701	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-1603b%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/post-468.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/uploads/elementor/css/post-46852c0.css	(from https://demo.leebrosus.com/melawell/)
13:08:09	64864/64864	---MCZ	200	added ('OK')	text/css	etag:W/%2263364137-ff2c%22	https://demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1664500023	D:/02-medicin/demothemedh.b-cdn.net/melawell/wp-content/cache/min/1/melawell/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend52c0.css	(from https://demo.leebrosus.com/melawell/)
