date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:42	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2013%20Dec%202022%2012:20:42%20GMT	http://petro.themegum.com/robots.txt		(from )
17:50:44	107828/107828	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Dec%202022%2012:20:44%20GMT	http://petro.themegum.com/elementor/	D:/petro.themegum.com/petro.themegum.com/elementor/index.html	(from )
17:50:45	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2013%20Dec%202022%2012:20:45%20GMT	http://petro.themegum.com/elementor/xmlrpc.php	D:/petro.themegum.com/petro.themegum.com/elementor/xmlrpc.php	(from http://petro.themegum.com/elementor/)
17:50:45	21461/21461	---MCZ	200	added ('OK')	text/css	etag:W/%2253d5-5a8dfc9a4599c%22	http://petro.themegum.com/elementor/wp-content/plugins/petro-elementor-addon//css/style.css?ver=5.4.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/petro-elementor-addon/css/stylec225.css	(from http://petro.themegum.com/elementor/)
17:50:46	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%22d159-5a40b11d01b80%22	http://petro.themegum.com/elementor/wp-includes/css/dist/block-library/style.min.css?ver=5.4.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-includes/css/dist/block-library/style.minc225.css	(from http://petro.themegum.com/elementor/)
17:50:47	66058/66058	---MCZ	200	added ('OK')	text/css	etag:W/%221020a-5a68841133eb1%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.16	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style60a8.css	(from http://petro.themegum.com/elementor/)
17:50:47	761/761	---MC-	200	added ('OK')	application/rss+xml	etag:%224e6d03cdb2e1555dc856da01bedb5605%22	http://petro.themegum.com/elementor/comments/feed/	D:/petro.themegum.com/petro.themegum.com/elementor/comments/feed/index.html	(from http://petro.themegum.com/elementor/)
17:50:47	1746/1746	---MCZ	200	added ('OK')	text/css	etag:W/%226d2-5a6883ef53ef3%22	http://petro.themegum.com/elementor/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.9	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/contact-form-7/includes/css/styles38c6.css	(from http://petro.themegum.com/elementor/)
17:50:47	5036/5036	---MCZ	200	added ('OK')	text/css	etag:W/%2213ac-5a688418050ea%22	http://petro.themegum.com/elementor/wp-content/plugins/crelly-slider/css/crellyslider.min.css?ver=1.4.2	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/crelly-slider/css/crellyslider.min1159.css	(from http://petro.themegum.com/elementor/)
17:50:48	27515/27515	---MC-	200	added ('OK')	application/rss+xml	etag:%22ad97a4d07c1813871678ce470f1764e6%22	http://petro.themegum.com/elementor/feed/	D:/petro.themegum.com/petro.themegum.com/elementor/feed/index.html	(from http://petro.themegum.com/elementor/)
17:50:48	17639/17639	---MCZ	200	added ('OK')	text/css	etag:W/%2244e7-5a6884115afb3%22	http://petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.1.1	D:/petro.themegum.com/petro.themegum.com/elementor/wp-content/plugins/woocommerce/assets/css/woocommerce-layout0235.css	(from http://petro.themegum.com/elementor/)
