Charge Code/APC Package,Description,Hospital Price,Revenue Code,CPT/HCPCS,NDC,Cash Price,,Blue Cross Commercial,Blue Cross Chip,Blue Cross Special Care,Blue Cross Community Blue,Blue Cross Federal,UPMC Commercial,UPMC For Life,UHC,United Healthcare Medicare,Cigna,Aetna Commercial,Aetna Medicare,,MIN,MAX
67303,CYSTOGRAFIN 300ML BOTTLE/ML,0.06,636,Q9958,,0.03,, -   , -   , -   , -   , -   ,0.39, -   ,0.03, -   ,0.03, -   , -   ,,0.03,0.39
67268,CT ISOVUE 300 200 ML MULTI USE,0.1,636,Q9967,,0.04,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67188,ISOVUE 300 500ML BOTTLE,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67294,ISOVUE 300 50ML BOTTLE PER ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67301,CT ISOVUE 300 150ML BOTTLE/ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
67301,CT ISOVUE 300 150ML BOTTLE/ML,0.11,636,Q9967,,0.05,, -   , -   , -   , -   , -   ,1.04, -   ,0.06, -   ,0.05, -   , -   ,,0.05,1.04
